sample-id,absolute-filepath,direction
MOUSE.G11.Day1,$PWD/reads/MOUSE.G11.Day1_1.fastq.gz,forward
MOUSE.G11.Day1,$PWD/reads/MOUSE.G11.Day1_2.fastq.gz,reverse
MOUSE.G11.Day14,$PWD/reads/MOUSE.G11.Day14_1.fastq.gz,forward
MOUSE.G11.Day14,$PWD/reads/MOUSE.G11.Day14_2.fastq.gz,reverse
MOUSE.G11.Day21,$PWD/reads/MOUSE.G11.Day21_1.fastq.gz,forward
MOUSE.G11.Day21,$PWD/reads/MOUSE.G11.Day21_2.fastq.gz,reverse
MOUSE.G11.Day3,$PWD/reads/MOUSE.G11.Day3_1.fastq.gz,forward
MOUSE.G11.Day3,$PWD/reads/MOUSE.G11.Day3_2.fastq.gz,reverse
MOUSE.G11.Day7,$PWD/reads/MOUSE.G11.Day7_1.fastq.gz,forward
MOUSE.G11.Day7,$PWD/reads/MOUSE.G11.Day7_2.fastq.gz,reverse
MOUSE.G12.Day1,$PWD/reads/MOUSE.G12.Day1_1.fastq.gz,forward
MOUSE.G12.Day1,$PWD/reads/MOUSE.G12.Day1_2.fastq.gz,reverse
MOUSE.G12.Day14,$PWD/reads/MOUSE.G12.Day14_1.fastq.gz,forward
MOUSE.G12.Day14,$PWD/reads/MOUSE.G12.Day14_2.fastq.gz,reverse
MOUSE.G12.Day21,$PWD/reads/MOUSE.G12.Day21_1.fastq.gz,forward
MOUSE.G12.Day21,$PWD/reads/MOUSE.G12.Day21_2.fastq.gz,reverse
MOUSE.G12.Day3,$PWD/reads/MOUSE.G12.Day3_1.fastq.gz,forward
MOUSE.G12.Day3,$PWD/reads/MOUSE.G12.Day3_2.fastq.gz,reverse
MOUSE.G12.Day7,$PWD/reads/MOUSE.G12.Day7_1.fastq.gz,forward
MOUSE.G12.Day7,$PWD/reads/MOUSE.G12.Day7_2.fastq.gz,reverse
MOUSE.G21.Day1,$PWD/reads/MOUSE.G21.Day1_1.fastq.gz,forward
MOUSE.G21.Day1,$PWD/reads/MOUSE.G21.Day1_2.fastq.gz,reverse
MOUSE.G21.Day14,$PWD/reads/MOUSE.G21.Day14_1.fastq.gz,forward
MOUSE.G21.Day14,$PWD/reads/MOUSE.G21.Day14_2.fastq.gz,reverse
MOUSE.G21.Day21,$PWD/reads/MOUSE.G21.Day21_1.fastq.gz,forward
MOUSE.G21.Day21,$PWD/reads/MOUSE.G21.Day21_2.fastq.gz,reverse
MOUSE.G21.Day3,$PWD/reads/MOUSE.G21.Day3_1.fastq.gz,forward
MOUSE.G21.Day3,$PWD/reads/MOUSE.G21.Day3_2.fastq.gz,reverse
MOUSE.G21.Day7,$PWD/reads/MOUSE.G21.Day7_1.fastq.gz,forward
MOUSE.G21.Day7,$PWD/reads/MOUSE.G21.Day7_2.fastq.gz,reverse
MOUSE.H12.Day1,$PWD/reads/MOUSE.H12.Day1_1.fastq.gz,forward
MOUSE.H12.Day1,$PWD/reads/MOUSE.H12.Day1_2.fastq.gz,reverse
MOUSE.H12.Day14,$PWD/reads/MOUSE.H12.Day14_1.fastq.gz,forward
MOUSE.H12.Day14,$PWD/reads/MOUSE.H12.Day14_2.fastq.gz,reverse
MOUSE.H12.Day21,$PWD/reads/MOUSE.H12.Day21_1.fastq.gz,forward
MOUSE.H12.Day21,$PWD/reads/MOUSE.H12.Day21_2.fastq.gz,reverse
MOUSE.H12.Day3,$PWD/reads/MOUSE.H12.Day3_1.fastq.gz,forward
MOUSE.H12.Day3,$PWD/reads/MOUSE.H12.Day3_2.fastq.gz,reverse
MOUSE.H12.Day7,$PWD/reads/MOUSE.H12.Day7_1.fastq.gz,forward
MOUSE.H12.Day7,$PWD/reads/MOUSE.H12.Day7_2.fastq.gz,reverse
MOUSE.H21.Day1,$PWD/reads/MOUSE.H21.Day1_1.fastq.gz,forward
MOUSE.H21.Day1,$PWD/reads/MOUSE.H21.Day1_2.fastq.gz,reverse
MOUSE.H21.Day14,$PWD/reads/MOUSE.H21.Day14_1.fastq.gz,forward
MOUSE.H21.Day14,$PWD/reads/MOUSE.H21.Day14_2.fastq.gz,reverse
MOUSE.H21.Day21,$PWD/reads/MOUSE.H21.Day21_1.fastq.gz,forward
MOUSE.H21.Day21,$PWD/reads/MOUSE.H21.Day21_2.fastq.gz,reverse
MOUSE.H21.Day3,$PWD/reads/MOUSE.H21.Day3_1.fastq.gz,forward
MOUSE.H21.Day3,$PWD/reads/MOUSE.H21.Day3_2.fastq.gz,reverse
MOUSE.H21.Day7,$PWD/reads/MOUSE.H21.Day7_1.fastq.gz,forward
MOUSE.H21.Day7,$PWD/reads/MOUSE.H21.Day7_2.fastq.gz,reverse
MOUSE.H22.Day1,$PWD/reads/MOUSE.H22.Day1_1.fastq.gz,forward
MOUSE.H22.Day1,$PWD/reads/MOUSE.H22.Day1_2.fastq.gz,reverse
MOUSE.H22.Day14,$PWD/reads/MOUSE.H22.Day14_1.fastq.gz,forward
MOUSE.H22.Day14,$PWD/reads/MOUSE.H22.Day14_2.fastq.gz,reverse
MOUSE.H22.Day21,$PWD/reads/MOUSE.H22.Day21_1.fastq.gz,forward
MOUSE.H22.Day21,$PWD/reads/MOUSE.H22.Day21_2.fastq.gz,reverse
MOUSE.H22.Day3,$PWD/reads/MOUSE.H22.Day3_1.fastq.gz,forward
MOUSE.H22.Day3,$PWD/reads/MOUSE.H22.Day3_2.fastq.gz,reverse
MOUSE.H22.Day7,$PWD/reads/MOUSE.H22.Day7_1.fastq.gz,forward
MOUSE.H22.Day7,$PWD/reads/MOUSE.H22.Day7_2.fastq.gz,reverse
